date,title,price,weight,kind,site,location
2022-08-24 12:41:14,"경북 햇 아오리 세척사과 (가정용) 5kg, 1박스, 아오리 세척사과 (가정용) 5kg 25-28과",15900,5,아오리,Coupang,경상남도
2022-08-24 12:41:18,"드디어 첫수확 초록 아오리 햇사과 4kg / 7kg 초초초특가, 아오리 햇사과 7kg(30-49과)(중소랜덤), 1",12900,7,아오리,Coupang,
2022-08-24 12:41:21,"경북 청송 새콤달콤 햇 아오리 사과 썸머킹 청사과 풋사과 여름사과, 1.2kg내외-6과",9900,1.2,아오리,Coupang,경상남도
2022-08-24 12:41:25,"껍질째먹는 훈이네 경북 부사 청송 가정용 선물용 꿀사과 3kg 5kg 10kg, 소과(아침대용)5KG",31900,5,부사,Coupang,경상남도
2022-08-24 12:41:28,"[요리하는아빠] 영천 햇 미니사과 알프스오토메 2kg, 미니사과2kg 상",17300,2,,Coupang,경상북도
2022-08-24 12:41:30,"경북사과 산지직송! 부사과 햇꿀사과홍로 여름사과아오리, 아오리(3kg)(소과)",10900,3,홍로,Coupang,
2022-08-24 12:41:34,"영주사과 정품 가정용 주문당일 수확한 싱싱한 청사과 초록 아오리사과 3kg, 1box, 3kg(가정용)11-13과",15840,3,아오리,Coupang,경상북도
2022-08-24 12:41:39,"FRESH 못난이 가정용 주스용 사과, 못난이 사과 10kg",29900,10,,Coupang,
2022-08-24 12:41:42,"세척 알프스오토메(미니사과), 2kg, 25-30g",16500,2,,Coupang,
2022-08-24 12:41:44,"사과가 쿵!, 보림",8550,0,,Coupang,
2022-08-24 12:41:49,"[이푸룸] 신선한 세척사과 1.5kg(8~10과), 상세 설명 참조",10500,1.5,,Coupang,
2022-08-24 12:41:57,"공주네농장 새벽이슬맺힌 당도선별 사과 꿀 부사사과, 1박스, 02. 가정용 흠과 2KG / 중과",16800,2,부사,Coupang,충청남도
2022-08-24 12:42:01,"영주소백산 햇아오리사과 가정용5kg 8kg 10kg산지직송, 8kg특대과(20~21과내외)",38480,8,아오리,Coupang,경상북도
2022-08-24 12:42:06,"풋풋한 아오리사과, 가정용 아오리사과 10kg 꼬마소과 40-60과내외",17900,10,아오리,Coupang,
2022-08-24 12:42:09,"22년 햇 홍로사과 안심세척사과 안심포장 안동사과 2.5kg, 홍로 세척사과소2.5kg(13~18과)",15500,2.5,홍로,Coupang,경상북도
2022-08-24 12:42:11,"3Kg 5Kg 10Kg, 5kg 알뜰사과 한입과(25~30과)",22900,5,,Coupang,
2022-08-24 12:42:14,"해발600m 고랭지 꿀 홍로사과, 5kg 막담아 (혼합크기 24과 내외)",29900,5,홍로,Coupang,
